airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,04:25:00,550,1.0,In-flight meal not included,12373
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,14323
Jet Airways,2019-04-18,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Goair,2019-03-27,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No Info,10188
Air India,2019-05-24,Kolkata,Banglore,09:25:00,11:10:00,1545,1.0,No Info,8891
Air Asia,2019-05-03,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,5989
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25:00,505,2.0,No Info,16263
Spicejet,2019-03-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,7298
Indigo,2019-05-27,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,5912
Air India,2019-04-03,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No Info,5022
Jet Airways,2019-06-15,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,14714
Air India,2019-03-27,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,10178
Indigo,2019-04-12,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4591
Air Asia,2019-05-24,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Jet Airways,2019-06-15,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Multiple Carriers,2019-06-09,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,18:45:00,695,1.0,No Info,16932
Indigo,2019-06-27,Delhi,Cochin,08:35:00,22:30:00,835,1.0,No Info,6442
Jet Airways,2019-04-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5198
Indigo,2019-03-09,Delhi,Cochin,18:35:00,01:35:00,420,1.0,No Info,12351
Indigo,2019-05-15,Delhi,Cochin,09:15:00,21:00:00,705,1.0,No Info,7503
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,13731
Multiple Carriers,2019-06-27,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13377
Indigo,2019-05-09,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Jet Airways,2019-05-21,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,16289
Air India,2019-03-12,Mumbai,Hyderabad,19:40:00,09:10:00,810,1.0,No Info,10208
Air India,2019-03-18,Banglore,New Delhi,08:50:00,23:25:00,2315,2.0,No Info,10783
Air India,2019-06-12,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,13381
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No Info,14151
Air India,2019-05-09,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,8669
Spicejet,2019-06-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-03,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,11622
Air India,2019-05-12,Kolkata,Banglore,12:00:00,13:15:00,1515,1.0,No Info,6612
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,11789
Indigo,2019-04-03,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Indigo,2019-06-03,Delhi,Cochin,14:25:00,17:40:00,195,0.0,No Info,6015
Air India,2019-06-06,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,8372
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,14151
Multiple Carriers,2019-03-21,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,6838
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Air India,2019-06-03,Delhi,Cochin,07:10:00,19:15:00,725,2.0,No Info,12698
Air India,2019-05-09,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,10991
Multiple Carriers,2019-05-21,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,14277
Jet Airways,2019-05-15,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Indigo,2019-03-15,Banglore,New Delhi,16:50:00,21:35:00,285,1.0,No Info,10406
Jet Airways,2019-03-21,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,In-flight meal not included,7832
Vistara,2019-05-06,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Indigo,2019-06-06,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No Info,6818
Multiple Carriers,2019-06-15,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No Info,13377
Multiple Carriers,2019-06-24,Delhi,Cochin,10:20:00,01:30:00,910,1.0,In-flight meal not included,5797
Air India,2019-06-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No Info,7952
Indigo,2019-03-03,Banglore,New Delhi,10:05:00,13:00:00,175,0.0,No Info,7648
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,9663
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,10:25:00,1365,1.0,No Info,17261
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,10:50:00,1660,1.0,No Info,11262
Multiple Carriers,2019-06-24,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,7618
Air India,2019-05-09,Delhi,Cochin,07:05:00,07:40:00,1475,2.0,No Info,13547
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Air India,2019-05-21,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Spicejet,2019-06-09,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Air Asia,2019-06-12,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Multiple Carriers,2019-06-12,Delhi,Cochin,03:50:00,12:35:00,525,1.0,No Info,12192
Air India,2019-05-06,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No Info,13538
Air India,2019-05-12,Kolkata,Banglore,09:25:00,05:35:00,1210,2.0,No Info,11432
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,18:50:00,995,1.0,In-flight meal not included,7438
Air India,2019-04-01,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,9258
Air India,2019-05-15,Kolkata,Banglore,14:35:00,14:35:00,1440,1.0,No Info,6528
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,In-flight meal not included,12384
Air India,2019-06-12,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Indigo,2019-03-03,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No Info,7648
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,2470
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No Info,11667
Air India,2019-06-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,8839
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1.0,No Info,13759
Jet Airways,2019-06-09,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Indigo,2019-06-09,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Air India,2019-06-06,Kolkata,Banglore,08:20:00,07:55:00,1415,2.0,No Info,10697
Jet Airways,2019-03-03,Delhi,Cochin,05:40:00,18:50:00,2230,2.0,No Info,21314
Jet Airways,2019-03-09,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No Info,16289
Indigo,2019-03-06,Delhi,Cochin,11:55:00,21:20:00,565,2.0,No Info,6610
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,8266
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,12898
Spicejet,2019-05-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,19:10:00,305,1.0,No Info,19225
Jet Airways,2019-04-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No Info,13044
Goair,2019-03-27,Delhi,Cochin,10:25:00,19:20:00,535,1.0,No Info,5281
Multiple Carriers,2019-03-06,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,15147
Air India,2019-04-27,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6094
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,No Info,27992
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,15077
Indigo,2019-04-27,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Indigo,2019-03-24,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,5694
Spicejet,2019-05-01,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Spicejet,2019-03-27,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No Info,3847
Jet Airways,2019-05-18,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Jet Airways,2019-06-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,12898
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,17:20:00,90,0.0,No Info,5678
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Air India,2019-04-01,Kolkata,Banglore,16:45:00,20:25:00,1660,2.0,No Info,9920
Jet Airways,2019-06-09,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,In-flight meal not included,10262
Air India,2019-03-27,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,3145
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,14151
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Air India,2019-05-18,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,13696
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,13044
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,No Info,14714
Air Asia,2019-06-21,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,3807
Vistara,2019-04-24,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Air Asia,2019-06-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Multiple Carriers,2019-06-24,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Jet Airways,2019-04-03,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Air India,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,9929
Indigo,2019-05-18,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,8099
Air India,2019-03-12,Mumbai,Hyderabad,16:50:00,12:25:00,1175,3.0,No Info,14260
Jet Airways,2019-03-21,Delhi,Cochin,18:20:00,04:25:00,2045,2.0,No Info,13082
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,12692
Indigo,2019-05-06,Kolkata,Banglore,22:15:00,00:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Air India,2019-03-21,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,7107
Indigo,2019-05-27,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,In-flight meal not included,8586
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,17024
Spicejet,2019-05-24,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Air India,2019-05-24,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Indigo,2019-04-12,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4990
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No Info,16079
Air India,2019-03-27,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,5957
Indigo,2019-05-15,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,08:10:00,660,1.0,In-flight meal not included,11134
Air India,2019-03-06,Mumbai,Hyderabad,09:40:00,15:15:00,1775,2.0,No Info,25139
Multiple Carriers,2019-05-09,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,9103
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-12,Delhi,Cochin,15:05:00,01:30:00,625,2.0,No Info,15965
Air India,2019-05-21,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,8372
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,07:40:00,1420,1.0,No Info,22270
Indigo,2019-05-01,Kolkata,Banglore,19:20:00,23:45:00,265,1.0,No Info,3809
Jet Airways,2019-03-01,Banglore,New Delhi,16:55:00,00:45:00,470,1.0,No Info,26890
Jet Airways,2019-06-12,Delhi,Cochin,08:10:00,04:25:00,1215,2.0,No Info,14300
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,16:20:00,1405,1.0,No Info,14231
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,21:05:00,1480,1.0,In-flight meal not included,10539
Air India,2019-05-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Goair,2019-06-12,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,4959
Multiple Carriers,2019-03-27,Delhi,Cochin,04:45:00,19:15:00,870,1.0,No Info,7574
Indigo,2019-06-12,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Spicejet,2019-06-24,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Vistara,2019-04-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Air India,2019-06-06,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Indigo,2019-05-09,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Multiple Carriers,2019-06-03,Delhi,Cochin,08:45:00,19:00:00,615,1.0,No Info,12524
Indigo,2019-03-03,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,7673
Spicejet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,3573
Multiple Carriers,2019-06-01,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,9526
Jet Airways,2019-06-15,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Air India,2019-06-15,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10975
Indigo,2019-06-09,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Jet Airways,2019-06-21,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Indigo,2019-04-18,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4591
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,12:00:00,890,1.0,In-flight meal not included,10844
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,In-flight meal not included,10844
Indigo,2019-03-09,Delhi,Cochin,07:35:00,12:00:00,265,1.0,No Info,6937
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,9555
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-03,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14848
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No Info,14441
Spicejet,2019-06-15,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Indigo,2019-05-18,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,7191
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,2759
Indigo,2019-05-18,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6442
Indigo,2019-03-24,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,4326
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13882
Indigo,2019-05-03,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,4284
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,12:00:00,1655,1.0,In-flight meal not included,10844
Spicejet,2019-06-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Air Asia,2019-05-15,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Air India,2019-03-15,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No Info,7276
Indigo,2019-03-24,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No Info,4777
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,14388
Multiple Carriers,2019-05-15,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Multiple Carriers,2019-05-09,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7787
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,No Info,10929
Jet Airways,2019-06-09,Delhi,Cochin,13:00:00,19:00:00,360,1.0,No Info,14714
Jet Airways,2019-06-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No Info,8016
Indigo,2019-06-01,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,7048
Jet Airways,2019-05-09,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,15554
Air India,2019-03-27,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No Info,7165
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No Info,12996
Spicejet,2019-03-24,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2175
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,10:05:00,1655,1.0,In-flight meal not included,8529
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,13:15:00,450,1.0,No Info,12284
Air India,2019-06-12,Kolkata,Banglore,09:10:00,04:40:00,1170,2.0,No Info,6117
Jet Airways,2019-05-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,In-flight meal not included,7064
Air India,2019-03-21,Delhi,Cochin,21:00:00,07:40:00,640,1.0,No Info,6902
Jet Airways,2019-05-01,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Indigo,2019-04-21,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,5224
Spicejet,2019-06-18,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No Info,2017
Multiple Carriers,2019-03-21,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No Info,13542
Indigo,2019-03-24,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Spicejet,2019-03-15,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No check-in baggage included,3815
Spicejet,2019-05-21,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,9663
Jet Airways,2019-06-27,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,12:00:00,975,1.0,In-flight meal not included,11134
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,12373
Air India,2019-03-03,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,22096
Spicejet,2019-06-27,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,19:00:00,600,1.0,In-flight meal not included,10675
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,21:00:00,835,1.0,In-flight meal not included,9930
Jet Airways,2019-06-09,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14571
Spicejet,2019-03-24,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,5418
Goair,2019-06-27,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,7870
Indigo,2019-05-15,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,4226
Jet Airways,2019-06-15,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Air India,2019-03-18,Banglore,New Delhi,10:30:00,17:45:00,435,2.0,No Info,13261
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3384
Indigo,2019-05-06,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,13843
Air India,2019-05-09,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,7174
Multiple Carriers,2019-05-27,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,13377
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,6224
Air India,2019-03-03,Banglore,New Delhi,05:50:00,22:10:00,2420,2.0,No Info,11791
Indigo,2019-03-06,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No Info,6482
Air India,2019-03-06,Delhi,Cochin,07:05:00,19:15:00,2170,2.0,No Info,11552
Indigo,2019-06-09,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,15:15:00,435,1.0,In-flight meal not included,9134
Vistara,2019-04-18,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5823
Air India,2019-06-03,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,8603
Air India,2019-06-01,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Indigo,2019-05-21,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,6794
Indigo,2019-03-09,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,4545
Air India,2019-05-18,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9863
Indigo,2019-05-03,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2754
Jet Airways,2019-06-01,Delhi,Cochin,20:00:00,04:25:00,505,2.0,In-flight meal not included,15318
Air Asia,2019-05-21,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,7927
Goair,2019-06-24,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,4692
Indigo,2019-03-21,Delhi,Cochin,18:35:00,01:35:00,420,1.0,No Info,9264
Indigo,2019-03-27,Delhi,Cochin,02:05:00,07:25:00,320,1.0,No Info,4744
Air Asia,2019-06-24,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3807
Multiple Carriers,2019-05-21,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,8266
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Indigo,2019-06-09,Banglore,Delhi,16:55:00,19:45:00,170,0.0,No Info,4823
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,19:50:00,1495,1.0,No Info,12681
Jet Airways,2019-05-21,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Air India,2019-04-27,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6094
Indigo,2019-03-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,6297
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,13626
Air India,2019-03-21,Delhi,Cochin,13:30:00,23:00:00,570,1.0,No Info,5704
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No Info,13067
Goair,2019-03-24,Kolkata,Banglore,16:25:00,00:05:00,460,1.0,No Info,10198
Jet Airways,2019-05-21,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,09:45:00,1005,1.0,In-flight meal not included,9314
Jet Airways,2019-05-12,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,04:25:00,1060,2.0,In-flight meal not included,7791
Jet Airways,2019-03-06,Mumbai,Hyderabad,14:20:00,16:50:00,1590,2.0,No Info,24115
Indigo,2019-03-21,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No Info,3603
Jet Airways,2019-06-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Air India,2019-05-09,Kolkata,Banglore,07:00:00,01:20:00,1100,2.0,No Info,13033
Goair,2019-05-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,7378
Vistara,2019-06-24,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,11841
Air India,2019-05-15,Kolkata,Banglore,20:30:00,20:25:00,1435,1.0,No Info,10203
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,12681
Goair,2019-04-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No Info,5752
Air India,2019-05-18,Kolkata,Banglore,08:20:00,20:25:00,725,2.0,No Info,12534
Spicejet,2019-03-09,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No Info,7110
Indigo,2019-03-09,Delhi,Cochin,05:35:00,10:10:00,275,1.0,No Info,9476
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1.0,In-flight meal not included,8586
